,acousticness,added_at,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,trackName,track_href,type,uri,valence
747,0.654,2014-09-04T02:05:29Z,https://api.spotify.com/v1/audio-analysis/4PDXtZQ83AJzfLWX0lcJux,0.716,182653,0.536,4PDXtZQ83AJzfLWX0lcJux,1.79e-06,4,0.275,-10.499,1,0.0286,118.096,4,Shine,https://api.spotify.com/v1/tracks/4PDXtZQ83AJzfLWX0lcJux,audio_features,spotify:track:4PDXtZQ83AJzfLWX0lcJux,0.684
748,0.507,2018-02-19T19:23:33Z,https://api.spotify.com/v1/audio-analysis/57waeauCsihehcGXgZQMar,0.432,228267,0.582,57waeauCsihehcGXgZQMar,0.000316,1,0.354,-10.047,0,0.194,90.991,4,Streetlights on Mars,https://api.spotify.com/v1/tracks/57waeauCsihehcGXgZQMar,audio_features,spotify:track:57waeauCsihehcGXgZQMar,0.389
749,0.141,2017-04-18T05:17:02Z,https://api.spotify.com/v1/audio-analysis/4NJpJ17Dgm5r4OYExFbxLk,0.632,193982,0.647,4NJpJ17Dgm5r4OYExFbxLk,0.104,8,0.0908,-8.587,1,0.0294,105.945,4,Oceans Away,https://api.spotify.com/v1/tracks/4NJpJ17Dgm5r4OYExFbxLk,audio_features,spotify:track:4NJpJ17Dgm5r4OYExFbxLk,0.221
750,0.0185,2016-04-11T18:58:21Z,https://api.spotify.com/v1/audio-analysis/3QVg1KLUgJMkGtRRJuvRDY,0.549,220328,0.641,3QVg1KLUgJMkGtRRJuvRDY,0.00368,6,0.123,-7.963,0,0.0374,122.026,4,Cutting Ties (Radio Edit),https://api.spotify.com/v1/tracks/3QVg1KLUgJMkGtRRJuvRDY,audio_features,spotify:track:3QVg1KLUgJMkGtRRJuvRDY,0.232
751,0.925,2017-03-10T23:31:25Z,https://api.spotify.com/v1/audio-analysis/4JyLFq2mHC8JPFTXHwYPWD,0.596,172061,0.219,4JyLFq2mHC8JPFTXHwYPWD,0.0,10,0.134,-11.148,0,0.149,83.096,4,Liability,https://api.spotify.com/v1/tracks/4JyLFq2mHC8JPFTXHwYPWD,audio_features,spotify:track:4JyLFq2mHC8JPFTXHwYPWD,0.334
752,0.637,2015-03-11T00:24:06Z,https://api.spotify.com/v1/audio-analysis/3WKg25vrbjJlkhsgl2W4p3,0.646,220627,0.431,3WKg25vrbjJlkhsgl2W4p3,6.99e-06,6,0.113,-8.517,1,0.0262,90.034,4,Bright,https://api.spotify.com/v1/tracks/3WKg25vrbjJlkhsgl2W4p3,audio_features,spotify:track:3WKg25vrbjJlkhsgl2W4p3,0.292
753,0.644,2016-07-19T00:43:46Z,https://api.spotify.com/v1/audio-analysis/2KJmP6o90OhshWkLZnm8Jq,0.405,164256,0.454,2KJmP6o90OhshWkLZnm8Jq,1.07e-05,1,0.105,-7.822,1,0.0597,110.998,4,Interlude,https://api.spotify.com/v1/tracks/2KJmP6o90OhshWkLZnm8Jq,audio_features,spotify:track:2KJmP6o90OhshWkLZnm8Jq,0.0718
754,0.0036,2016-10-03T17:35:17Z,https://api.spotify.com/v1/audio-analysis/2uoWRWXaEdFH2EMjzvTP3Z,0.717,165187,0.943,2uoWRWXaEdFH2EMjzvTP3Z,1.92e-05,0,0.1,-2.844,1,0.0545,147.874,4,Body of My Own,https://api.spotify.com/v1/tracks/2uoWRWXaEdFH2EMjzvTP3Z,audio_features,spotify:track:2uoWRWXaEdFH2EMjzvTP3Z,0.728
755,0.0102,2016-05-02T20:13:29Z,https://api.spotify.com/v1/audio-analysis/2FCNx64bqwKFuOJ33RDyVY,0.61,199615,0.734,2FCNx64bqwKFuOJ33RDyVY,3.29e-05,7,0.159,-7.438,1,0.0363,104.028,4,Sun Shy,https://api.spotify.com/v1/tracks/2FCNx64bqwKFuOJ33RDyVY,audio_features,spotify:track:2FCNx64bqwKFuOJ33RDyVY,0.813
756,0.804,2015-09-11T06:14:31Z,https://api.spotify.com/v1/audio-analysis/3MLiV0gaOCQkFf6FXdSaog,0.686,214720,0.461,3MLiV0gaOCQkFf6FXdSaog,7.36e-06,8,0.173,-6.761,0,0.0334,120.088,4,Trouble - Stripped,https://api.spotify.com/v1/tracks/3MLiV0gaOCQkFf6FXdSaog,audio_features,spotify:track:3MLiV0gaOCQkFf6FXdSaog,0.433
