acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0.00166,https://api.spotify.com/v1/audio-analysis/4vG2vtpzK05uFwi1ozBBUZ,HUNNY,0.561,213707,0.768,4vG2vtpzK05uFwi1ozBBUZ,0.0,11,0.29,-4.884,0,Cry for Me,0.0558,115.916,4,https://api.spotify.com/v1/tracks/4vG2vtpzK05uFwi1ozBBUZ,audio_features,spotify:track:4vG2vtpzK05uFwi1ozBBUZ,0.62
0.0245,https://api.spotify.com/v1/audio-analysis/6L3VWDPDTQkQFkqvmpAUMU,Young the Giant,0.623,228467,0.886,6L3VWDPDTQkQFkqvmpAUMU,0.0,1,0.247,-3.044,1,Something To Believe In,0.0404,92.021,4,https://api.spotify.com/v1/tracks/6L3VWDPDTQkQFkqvmpAUMU,audio_features,spotify:track:6L3VWDPDTQkQFkqvmpAUMU,0.691
0.000749,https://api.spotify.com/v1/audio-analysis/5zb8kcWQZEoWQ8eLODJxS4,The Hunna,0.398,181525,0.893,5zb8kcWQZEoWQ8eLODJxS4,0.0,4,0.128,-3.217,1,You & Me,0.0783,146.005,4,https://api.spotify.com/v1/tracks/5zb8kcWQZEoWQ8eLODJxS4,audio_features,spotify:track:5zb8kcWQZEoWQ8eLODJxS4,0.557
0.00223,https://api.spotify.com/v1/audio-analysis/7vAP58rs2edngP9qdnxkCc,Grouplove,0.511,227800,0.617,7vAP58rs2edngP9qdnxkCc,0.0,10,0.201,-5.883,1,Welcome To Your Life,0.0313,90.951,4,https://api.spotify.com/v1/tracks/7vAP58rs2edngP9qdnxkCc,audio_features,spotify:track:7vAP58rs2edngP9qdnxkCc,0.394
0.0107,https://api.spotify.com/v1/audio-analysis/4ptlAXjTGJgjrxGQ7EGn4W,Matt and Kim,0.719,181467,0.755,4ptlAXjTGJgjrxGQ7EGn4W,0.00171,5,0.38,-5.685,1,Get It,0.0518,93.022,4,https://api.spotify.com/v1/tracks/4ptlAXjTGJgjrxGQ7EGn4W,audio_features,spotify:track:4ptlAXjTGJgjrxGQ7EGn4W,0.133
0.00694,https://api.spotify.com/v1/audio-analysis/6TZq6cRTBPPTkKK88w06dV,Beck,0.593,219973,0.728,6TZq6cRTBPPTkKK88w06dV,0.00955,10,0.181,-4.564,0,Wow,0.0382,92.002,4,https://api.spotify.com/v1/tracks/6TZq6cRTBPPTkKK88w06dV,audio_features,spotify:track:6TZq6cRTBPPTkKK88w06dV,0.449
0.0357,https://api.spotify.com/v1/audio-analysis/7kClqlbpmpZmGMimROkvh6,Fitz and The Tantrums,0.689,218400,0.969,7kClqlbpmpZmGMimROkvh6,9.56e-06,0,0.08,-3.041,1,Roll Up,0.0581,92.506,4,https://api.spotify.com/v1/tracks/7kClqlbpmpZmGMimROkvh6,audio_features,spotify:track:7kClqlbpmpZmGMimROkvh6,0.641
0.0715,https://api.spotify.com/v1/audio-analysis/39bpQHvHkE0K7UUD2HL9oI,Milky Chance,0.732,254013,0.708,39bpQHvHkE0K7UUD2HL9oI,0.000161,10,0.0824,-5.978,1,Cocoon,0.0324,114.033,4,https://api.spotify.com/v1/tracks/39bpQHvHkE0K7UUD2HL9oI,audio_features,spotify:track:39bpQHvHkE0K7UUD2HL9oI,0.739
0.000542,https://api.spotify.com/v1/audio-analysis/0pZtEMbGwMjck17BN8m8Ix,Night Lights,0.563,210570,0.887,0pZtEMbGwMjck17BN8m8Ix,0.00195,4,0.109,-5.737,0,Childish,0.129,127.833,4,https://api.spotify.com/v1/tracks/0pZtEMbGwMjck17BN8m8Ix,audio_features,spotify:track:0pZtEMbGwMjck17BN8m8Ix,0.765
0.0566,https://api.spotify.com/v1/audio-analysis/3kSZhpgkYRJ6qZvvPxHHq4,A Yawn Worth Yelling,0.74,244413,0.685,3kSZhpgkYRJ6qZvvPxHHq4,3.4e-05,0,0.295,-6.28,1,Start Somewhere,0.0332,122.487,4,https://api.spotify.com/v1/tracks/3kSZhpgkYRJ6qZvvPxHHq4,audio_features,spotify:track:3kSZhpgkYRJ6qZvvPxHHq4,0.615
0.0164,https://api.spotify.com/v1/audio-analysis/0Z0iYAtKYswMYXL3kJtdO4,Wild Party,0.524,189960,0.645,0Z0iYAtKYswMYXL3kJtdO4,2.42e-06,7,0.0969,-5.041,1,Chasin' Honey,0.0664,176.064,4,https://api.spotify.com/v1/tracks/0Z0iYAtKYswMYXL3kJtdO4,audio_features,spotify:track:0Z0iYAtKYswMYXL3kJtdO4,0.746
7.19e-05,https://api.spotify.com/v1/audio-analysis/0UPsdEgJx6ypkfFUxD3ZHh,Phantogram,0.558,258187,0.642,0UPsdEgJx6ypkfFUxD3ZHh,0.00746,5,0.201,-5.206,0,Don't Move,0.0321,99.977,4,https://api.spotify.com/v1/tracks/0UPsdEgJx6ypkfFUxD3ZHh,audio_features,spotify:track:0UPsdEgJx6ypkfFUxD3ZHh,0.492
0.00397,https://api.spotify.com/v1/audio-analysis/4WUduEPZZG6wiE9B5IklnY,Grouplove,0.476,239658,0.744,4WUduEPZZG6wiE9B5IklnY,0.000173,6,0.0982,-6.602,1,Let Me In,0.0515,127.934,4,https://api.spotify.com/v1/tracks/4WUduEPZZG6wiE9B5IklnY,audio_features,spotify:track:4WUduEPZZG6wiE9B5IklnY,0.166
0.000938,https://api.spotify.com/v1/audio-analysis/6Mj7VQqAgDttaxt63bQj4F,Grouplove,0.562,219560,0.832,6Mj7VQqAgDttaxt63bQj4F,2.83e-06,2,0.063,-5.26,1,Good Morning,0.0499,104.042,4,https://api.spotify.com/v1/tracks/6Mj7VQqAgDttaxt63bQj4F,audio_features,spotify:track:6Mj7VQqAgDttaxt63bQj4F,0.669
0.0114,https://api.spotify.com/v1/audio-analysis/3FBSrhpYdMAmEzaZgBhMx4,Grouplove,0.543,209000,0.84,3FBSrhpYdMAmEzaZgBhMx4,0.0,11,0.0576,-3.144,0,Good Morning - Madison Mars Remix,0.0871,105.982,4,https://api.spotify.com/v1/tracks/3FBSrhpYdMAmEzaZgBhMx4,audio_features,spotify:track:3FBSrhpYdMAmEzaZgBhMx4,0.419
0.0976,https://api.spotify.com/v1/audio-analysis/45euWtXqwAGfSzYbdtE50I,The Montreals,0.458,202114,0.876,45euWtXqwAGfSzYbdtE50I,4.42e-05,4,0.206,-4.963,0,Indigo Club,0.0379,154.981,4,https://api.spotify.com/v1/tracks/45euWtXqwAGfSzYbdtE50I,audio_features,spotify:track:45euWtXqwAGfSzYbdtE50I,0.505
0.17,https://api.spotify.com/v1/audio-analysis/6nXGBeHSaAAVRMZ6fxJMkR,Oh Wonder,0.455,211573,0.789,6nXGBeHSaAAVRMZ6fxJMkR,0.00566,3,0.172,-4.222,1,Ultralife,0.0429,95.477,4,https://api.spotify.com/v1/tracks/6nXGBeHSaAAVRMZ6fxJMkR,audio_features,spotify:track:6nXGBeHSaAAVRMZ6fxJMkR,0.441
0.347,https://api.spotify.com/v1/audio-analysis/0WJhRswVrylpVeYHDx76a1,Oh Wonder,0.648,232493,0.637,0WJhRswVrylpVeYHDx76a1,0.000202,4,0.122,-5.325,1,Lifetimes,0.0888,146.209,4,https://api.spotify.com/v1/tracks/0WJhRswVrylpVeYHDx76a1,audio_features,spotify:track:0WJhRswVrylpVeYHDx76a1,0.764
