acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0348,https://api.spotify.com/v1/audio-analysis/7ntYHloW1fn4aWpPpZXgua,0.634,244840,0.867,7ntYHloW1fn4aWpPpZXgua,0.873,11,0.38,-6.804,0,0.0433,0,120.002,3,https://api.spotify.com/v1/tracks/7ntYHloW1fn4aWpPpZXgua,audio_features,spotify:track:7ntYHloW1fn4aWpPpZXgua,0.0442
0.0125,https://api.spotify.com/v1/audio-analysis/3oMtrWsfFo0Y5Rpf33qyst,0.547,351724,0.795,3oMtrWsfFo0Y5Rpf33qyst,0.921,4,0.0974,-6.936,1,0.0361,0,174.022,4,https://api.spotify.com/v1/tracks/3oMtrWsfFo0Y5Rpf33qyst,audio_features,spotify:track:3oMtrWsfFo0Y5Rpf33qyst,0.158
0.000628,https://api.spotify.com/v1/audio-analysis/1dlUVzHA4HIfeGQo2vQtT4,0.728,389587,0.584,1dlUVzHA4HIfeGQo2vQtT4,0.806,6,0.201,-8.633,0,0.0455,0,128.152,4,https://api.spotify.com/v1/tracks/1dlUVzHA4HIfeGQo2vQtT4,audio_features,spotify:track:1dlUVzHA4HIfeGQo2vQtT4,0.507
0.0016,https://api.spotify.com/v1/audio-analysis/2pEQcIsO8E0RcwUtnzkoi1,0.69,397241,0.726,2pEQcIsO8E0RcwUtnzkoi1,0.864,4,0.0789,-6.846,0,0.0874,0,174.0,4,https://api.spotify.com/v1/tracks/2pEQcIsO8E0RcwUtnzkoi1,audio_features,spotify:track:2pEQcIsO8E0RcwUtnzkoi1,0.0886
0.000953,https://api.spotify.com/v1/audio-analysis/0LrAEasOJagowjfyHE4QDC,0.449,362759,0.871,0LrAEasOJagowjfyHE4QDC,0.891,6,0.0997,-8.725,1,0.0434,0,173.987,4,https://api.spotify.com/v1/tracks/0LrAEasOJagowjfyHE4QDC,audio_features,spotify:track:0LrAEasOJagowjfyHE4QDC,0.513
0.0319,https://api.spotify.com/v1/audio-analysis/4k6yX5x8yBNgLSWPQltnNd,0.64,185197,0.596,4k6yX5x8yBNgLSWPQltnNd,0.931,0,0.146,-12.456,0,0.0444,0,126.979,4,https://api.spotify.com/v1/tracks/4k6yX5x8yBNgLSWPQltnNd,audio_features,spotify:track:4k6yX5x8yBNgLSWPQltnNd,0.0378
0.00908,https://api.spotify.com/v1/audio-analysis/6uN10h9uh1GAIzfjVGXDDG,0.451,299802,0.82,6uN10h9uh1GAIzfjVGXDDG,0.876,1,0.126,-5.206,1,0.0458,0,175.003,4,https://api.spotify.com/v1/tracks/6uN10h9uh1GAIzfjVGXDDG,audio_features,spotify:track:6uN10h9uh1GAIzfjVGXDDG,0.109
0.247,https://api.spotify.com/v1/audio-analysis/0rc5ufZe3ok3mQgWpFG7h2,0.836,400000,0.534,0rc5ufZe3ok3mQgWpFG7h2,0.919,6,0.0781,-11.094,1,0.0464,0,125.008,4,https://api.spotify.com/v1/tracks/0rc5ufZe3ok3mQgWpFG7h2,audio_features,spotify:track:0rc5ufZe3ok3mQgWpFG7h2,0.578
0.00053,https://api.spotify.com/v1/audio-analysis/0Pt1FczahHVn3FAiQcPxyY,0.459,320879,0.903,0Pt1FczahHVn3FAiQcPxyY,0.034,10,0.124,-3.189,1,0.0456,0,140.052,4,https://api.spotify.com/v1/tracks/0Pt1FczahHVn3FAiQcPxyY,audio_features,spotify:track:0Pt1FczahHVn3FAiQcPxyY,0.137
0.00084,https://api.spotify.com/v1/audio-analysis/1AaydAZeJaIWptSLaHR9u1,0.399,316266,0.63,1AaydAZeJaIWptSLaHR9u1,0.3,4,0.637,-5.488,0,0.0421,0,139.98,4,https://api.spotify.com/v1/tracks/1AaydAZeJaIWptSLaHR9u1,audio_features,spotify:track:1AaydAZeJaIWptSLaHR9u1,0.0377
0.0817,https://api.spotify.com/v1/audio-analysis/4jIzCryeLdBgE671gdQ6QD,0.628,295290,0.744,4jIzCryeLdBgE671gdQ6QD,0.262,11,0.333,-9.185,0,0.0302,0,139.981,4,https://api.spotify.com/v1/tracks/4jIzCryeLdBgE671gdQ6QD,audio_features,spotify:track:4jIzCryeLdBgE671gdQ6QD,0.215
