acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.532,https://api.spotify.com/v1/audio-analysis/0j1BAvgZnO5LoRCsGtgYYG,0.722,191760,0.459,0j1BAvgZnO5LoRCsGtgYYG,1.49e-05,4,0.276,-4.556,0,0.0802,1,96.171,4,https://api.spotify.com/v1/tracks/0j1BAvgZnO5LoRCsGtgYYG,audio_features,spotify:track:0j1BAvgZnO5LoRCsGtgYYG,0.921
0.716,https://api.spotify.com/v1/audio-analysis/7GLvGlqdg2ocugG4G5ih4I,0.576,219773,0.647,7GLvGlqdg2ocugG4G5ih4I,3.42e-05,7,0.244,-5.59,1,0.0283,1,112.008,4,https://api.spotify.com/v1/tracks/7GLvGlqdg2ocugG4G5ih4I,audio_features,spotify:track:7GLvGlqdg2ocugG4G5ih4I,0.397
0.352,https://api.spotify.com/v1/audio-analysis/0cqiehfcVFq3ISC3pO9zLE,0.679,204493,0.503,0cqiehfcVFq3ISC3pO9zLE,1.84e-06,9,0.0984,-4.546,1,0.0365,1,95.48,4,https://api.spotify.com/v1/tracks/0cqiehfcVFq3ISC3pO9zLE,audio_features,spotify:track:0cqiehfcVFq3ISC3pO9zLE,0.891
0.857,https://api.spotify.com/v1/audio-analysis/7w45f9uLSXE56Bezwjdl8B,0.539,221267,0.561,7w45f9uLSXE56Bezwjdl8B,0.33,0,0.145,-7.897,0,0.0294,1,128.023,4,https://api.spotify.com/v1/tracks/7w45f9uLSXE56Bezwjdl8B,audio_features,spotify:track:7w45f9uLSXE56Bezwjdl8B,0.0568
0.155,https://api.spotify.com/v1/audio-analysis/53LWnHbfoBuARHoAtEwrBY,0.57,238293,0.486,53LWnHbfoBuARHoAtEwrBY,0.000633,5,0.0995,-5.082,1,0.0326,1,144.799,4,https://api.spotify.com/v1/tracks/53LWnHbfoBuARHoAtEwrBY,audio_features,spotify:track:53LWnHbfoBuARHoAtEwrBY,0.749
0.911,https://api.spotify.com/v1/audio-analysis/3cUQUcDvzrbfSFXHpLvdXf,0.516,295027,0.27,3cUQUcDvzrbfSFXHpLvdXf,0.00322,3,0.121,-5.605,1,0.0438,1,73.583,4,https://api.spotify.com/v1/tracks/3cUQUcDvzrbfSFXHpLvdXf,audio_features,spotify:track:3cUQUcDvzrbfSFXHpLvdXf,0.3
0.759,https://api.spotify.com/v1/audio-analysis/3fOCHVP6W1uXr2kkZ1dzm0,0.577,256573,0.397,3fOCHVP6W1uXr2kkZ1dzm0,0.0573,0,0.128,-10.064,1,0.0327,1,149.864,3,https://api.spotify.com/v1/tracks/3fOCHVP6W1uXr2kkZ1dzm0,audio_features,spotify:track:3fOCHVP6W1uXr2kkZ1dzm0,0.196
0.0987,https://api.spotify.com/v1/audio-analysis/720VccfW5GV9ZM4OKAAGUg,0.443,210884,0.727,720VccfW5GV9ZM4OKAAGUg,9.35e-06,0,0.118,-5.171,0,0.0984,1,74.827,4,https://api.spotify.com/v1/tracks/720VccfW5GV9ZM4OKAAGUg,audio_features,spotify:track:720VccfW5GV9ZM4OKAAGUg,0.424
0.075,https://api.spotify.com/v1/audio-analysis/3t3oNm7M0HXf7ILqA7vCTP,0.345,253333,0.79,3t3oNm7M0HXf7ILqA7vCTP,0.000165,2,0.101,-2.761,1,0.065,1,179.849,4,https://api.spotify.com/v1/tracks/3t3oNm7M0HXf7ILqA7vCTP,audio_features,spotify:track:3t3oNm7M0HXf7ILqA7vCTP,0.208
0.379,https://api.spotify.com/v1/audio-analysis/20OrSCxQNhfAtiWtbLn3hf,0.569,208853,0.464,20OrSCxQNhfAtiWtbLn3hf,0.0,11,0.152,-8.27,1,0.0539,1,84.565,4,https://api.spotify.com/v1/tracks/20OrSCxQNhfAtiWtbLn3hf,audio_features,spotify:track:20OrSCxQNhfAtiWtbLn3hf,0.321
0.000181,https://api.spotify.com/v1/audio-analysis/6mmAeC57zRD5zzVTpB1ACF,0.463,231835,0.71,6mmAeC57zRD5zzVTpB1ACF,0.000113,10,0.125,-5.946,1,0.0556,1,156.019,4,https://api.spotify.com/v1/tracks/6mmAeC57zRD5zzVTpB1ACF,audio_features,spotify:track:6mmAeC57zRD5zzVTpB1ACF,0.237
0.0919,https://api.spotify.com/v1/audio-analysis/3k08Cja0lw4MKJ72AyCGzU,0.568,180938,0.767,3k08Cja0lw4MKJ72AyCGzU,0.0,0,0.3,-3.634,1,0.0461,1,129.931,4,https://api.spotify.com/v1/tracks/3k08Cja0lw4MKJ72AyCGzU,audio_features,spotify:track:3k08Cja0lw4MKJ72AyCGzU,0.275
0.229,https://api.spotify.com/v1/audio-analysis/4B6BiC4TZUbvXMbrdx2rhq,0.553,297040,0.675,4B6BiC4TZUbvXMbrdx2rhq,0.0,2,0.106,-6.95,1,0.0563,1,96.993,4,https://api.spotify.com/v1/tracks/4B6BiC4TZUbvXMbrdx2rhq,audio_features,spotify:track:4B6BiC4TZUbvXMbrdx2rhq,0.421
0.137,https://api.spotify.com/v1/audio-analysis/0bPSRn4crnh5f1JhELPlyL,0.685,272813,0.9,0bPSRn4crnh5f1JhELPlyL,0.0,5,0.2,-4.626,0,0.151,1,111.991,4,https://api.spotify.com/v1/tracks/0bPSRn4crnh5f1JhELPlyL,audio_features,spotify:track:0bPSRn4crnh5f1JhELPlyL,0.779
0.123,https://api.spotify.com/v1/audio-analysis/7jStM0aMv8WoG91YrrDMbw,0.6,313253,0.824,7jStM0aMv8WoG91YrrDMbw,0.000311,8,0.105,-6.11,1,0.0376,1,129.887,4,https://api.spotify.com/v1/tracks/7jStM0aMv8WoG91YrrDMbw,audio_features,spotify:track:7jStM0aMv8WoG91YrrDMbw,0.244
0.0724,https://api.spotify.com/v1/audio-analysis/5SD3nF4GLH4UTtt0OGWatS,0.743,222240,0.708,5SD3nF4GLH4UTtt0OGWatS,3.99e-06,10,0.342,-4.032,0,0.0571,1,107.95,4,https://api.spotify.com/v1/tracks/5SD3nF4GLH4UTtt0OGWatS,audio_features,spotify:track:5SD3nF4GLH4UTtt0OGWatS,0.686
0.0282,https://api.spotify.com/v1/audio-analysis/0gb1J5UrTpzaU1s3nupgCd,0.671,189127,0.916,0gb1J5UrTpzaU1s3nupgCd,0.00762,6,0.24,-4.014,0,0.0397,1,126.01,4,https://api.spotify.com/v1/tracks/0gb1J5UrTpzaU1s3nupgCd,audio_features,spotify:track:0gb1J5UrTpzaU1s3nupgCd,0.803
0.105,https://api.spotify.com/v1/audio-analysis/2MHCiOohBZEQuLgDTPvSzF,0.562,205920,0.906,2MHCiOohBZEQuLgDTPvSzF,0.0,4,0.145,-2.085,1,0.0758,1,124.146,4,https://api.spotify.com/v1/tracks/2MHCiOohBZEQuLgDTPvSzF,audio_features,spotify:track:2MHCiOohBZEQuLgDTPvSzF,0.674
0.00711,https://api.spotify.com/v1/audio-analysis/46lFttIf5hnUZMGvjK0Wxo,0.506,227074,0.805,46lFttIf5hnUZMGvjK0Wxo,0.00193,1,0.0856,-4.119,1,0.0469,1,126.008,4,https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo,audio_features,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.383
0.701,https://api.spotify.com/v1/audio-analysis/1uf5f99kLdlmUBEvVqrFyy,0.676,170611,0.5,1uf5f99kLdlmUBEvVqrFyy,0.0,8,0.596,-6.878,1,0.0412,1,97.863,4,https://api.spotify.com/v1/tracks/1uf5f99kLdlmUBEvVqrFyy,audio_features,spotify:track:1uf5f99kLdlmUBEvVqrFyy,0.915
0.0188,https://api.spotify.com/v1/audio-analysis/7kJlTKjNZVT26iwiDUVhRm,0.654,178583,0.796,7kJlTKjNZVT26iwiDUVhRm,0.0,2,0.0948,-4.761,0,0.122,1,108.854,4,https://api.spotify.com/v1/tracks/7kJlTKjNZVT26iwiDUVhRm,audio_features,spotify:track:7kJlTKjNZVT26iwiDUVhRm,0.491
0.0225,https://api.spotify.com/v1/audio-analysis/401Xo6kdmYwDZ5l0RDsjC4,0.551,201683,0.624,401Xo6kdmYwDZ5l0RDsjC4,0.0,4,0.365,-7.837,0,0.0347,1,144.031,4,https://api.spotify.com/v1/tracks/401Xo6kdmYwDZ5l0RDsjC4,audio_features,spotify:track:401Xo6kdmYwDZ5l0RDsjC4,0.329
0.0643,https://api.spotify.com/v1/audio-analysis/0LkelFnnzJPC8dtZSZ9Og8,0.329,204600,0.666,0LkelFnnzJPC8dtZSZ9Og8,0.0,2,0.212,-5.853,0,0.118,1,82.36,4,https://api.spotify.com/v1/tracks/0LkelFnnzJPC8dtZSZ9Og8,audio_features,spotify:track:0LkelFnnzJPC8dtZSZ9Og8,0.513
0.787,https://api.spotify.com/v1/audio-analysis/2mSrVZsSKn2Ye5f0YuAbMh,0.579,140360,0.43,2mSrVZsSKn2Ye5f0YuAbMh,0.0,5,0.13,-10.021,1,0.344,1,123.999,4,https://api.spotify.com/v1/tracks/2mSrVZsSKn2Ye5f0YuAbMh,audio_features,spotify:track:2mSrVZsSKn2Ye5f0YuAbMh,0.538
0.185,https://api.spotify.com/v1/audio-analysis/5vtyFzfLkCSJvXEZFjQAa1,0.426,232759,0.476,5vtyFzfLkCSJvXEZFjQAa1,0.0,2,0.327,-6.64,1,0.0741,1,179.793,4,https://api.spotify.com/v1/tracks/5vtyFzfLkCSJvXEZFjQAa1,audio_features,spotify:track:5vtyFzfLkCSJvXEZFjQAa1,0.169
0.336,https://api.spotify.com/v1/audio-analysis/3gkHtnfFxOD2Ts1WYIqYlh,0.705,210107,0.895,3gkHtnfFxOD2Ts1WYIqYlh,0.000141,1,0.0932,-3.849,0,0.0439,1,98.081,4,https://api.spotify.com/v1/tracks/3gkHtnfFxOD2Ts1WYIqYlh,audio_features,spotify:track:3gkHtnfFxOD2Ts1WYIqYlh,0.688
0.449,https://api.spotify.com/v1/audio-analysis/4hFksmpwtT4bx5btyRT5ek,0.662,197000,0.688,4hFksmpwtT4bx5btyRT5ek,0.0,6,0.0639,-4.086,1,0.109,1,90.044,4,https://api.spotify.com/v1/tracks/4hFksmpwtT4bx5btyRT5ek,audio_features,spotify:track:4hFksmpwtT4bx5btyRT5ek,0.274
0.181,https://api.spotify.com/v1/audio-analysis/54m8lblSFYP3EQ84MBu6vq,0.788,197236,0.484,54m8lblSFYP3EQ84MBu6vq,0.00545,6,0.148,-10.368,1,0.191,1,107.912,4,https://api.spotify.com/v1/tracks/54m8lblSFYP3EQ84MBu6vq,audio_features,spotify:track:54m8lblSFYP3EQ84MBu6vq,0.519
0.792,https://api.spotify.com/v1/audio-analysis/6cRExfWfj87zhACU30aW7l,0.565,216573,0.255,6cRExfWfj87zhACU30aW7l,2.07e-06,7,0.0986,-12.151,1,0.0322,1,110.015,4,https://api.spotify.com/v1/tracks/6cRExfWfj87zhACU30aW7l,audio_features,spotify:track:6cRExfWfj87zhACU30aW7l,0.121
0.24,https://api.spotify.com/v1/audio-analysis/50RJdoxw8iajGNtHQe6QeS,0.672,252933,0.73,50RJdoxw8iajGNtHQe6QeS,0.000417,2,0.122,-5.99,1,0.0472,1,120.008,4,https://api.spotify.com/v1/tracks/50RJdoxw8iajGNtHQe6QeS,audio_features,spotify:track:50RJdoxw8iajGNtHQe6QeS,0.568
0.0618,https://api.spotify.com/v1/audio-analysis/2bDXmdP23tCK9uj8e2o3ya,0.575,249239,0.713,2bDXmdP23tCK9uj8e2o3ya,1.19e-06,2,0.0717,-5.233,1,0.0386,1,106.003,4,https://api.spotify.com/v1/tracks/2bDXmdP23tCK9uj8e2o3ya,audio_features,spotify:track:2bDXmdP23tCK9uj8e2o3ya,0.195
0.288,https://api.spotify.com/v1/audio-analysis/4vTsOYAocjaslUONkx2YS3,0.52,194904,0.687,4vTsOYAocjaslUONkx2YS3,0.0,4,0.242,-5.531,0,0.0426,1,96.952,4,https://api.spotify.com/v1/tracks/4vTsOYAocjaslUONkx2YS3,audio_features,spotify:track:4vTsOYAocjaslUONkx2YS3,0.203
0.0124,https://api.spotify.com/v1/audio-analysis/11EDhDAVDtGPoSar6ootYA,0.695,221206,0.788,11EDhDAVDtGPoSar6ootYA,2.2e-05,11,0.205,-4.79,1,0.0592,1,109.985,4,https://api.spotify.com/v1/tracks/11EDhDAVDtGPoSar6ootYA,audio_features,spotify:track:11EDhDAVDtGPoSar6ootYA,0.278
0.105,https://api.spotify.com/v1/audio-analysis/7i2DJ88J7jQ8K7zqFX2fW8,0.658,214802,0.588,7i2DJ88J7jQ8K7zqFX2fW8,1.28e-06,6,0.125,-4.902,0,0.0367,1,110.075,4,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,audio_features,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,0.434
0.0192,https://api.spotify.com/v1/audio-analysis/2WQn7Yvs728KZmmY6tgWqH,0.574,202439,0.685,2WQn7Yvs728KZmmY6tgWqH,7.26e-06,1,0.0815,-4.955,0,0.0429,1,130.165,4,https://api.spotify.com/v1/tracks/2WQn7Yvs728KZmmY6tgWqH,audio_features,spotify:track:2WQn7Yvs728KZmmY6tgWqH,0.0398
0.0024,https://api.spotify.com/v1/audio-analysis/0PGQFIxe8kC5IAdNfAOtEM,0.616,221874,0.576,0PGQFIxe8kC5IAdNfAOtEM,2.91e-05,1,0.128,-5.299,0,0.0561,1,104.414,4,https://api.spotify.com/v1/tracks/0PGQFIxe8kC5IAdNfAOtEM,audio_features,spotify:track:0PGQFIxe8kC5IAdNfAOtEM,0.521
0.0168,https://api.spotify.com/v1/audio-analysis/3KrnkTF84wu0KF3vqVYgEh,0.333,180000,0.763,3KrnkTF84wu0KF3vqVYgEh,0.000834,7,0.0804,-5.023,1,0.0633,1,154.585,4,https://api.spotify.com/v1/tracks/3KrnkTF84wu0KF3vqVYgEh,audio_features,spotify:track:3KrnkTF84wu0KF3vqVYgEh,0.0832
0.411,https://api.spotify.com/v1/audio-analysis/08bo51XXjxoJRv3O9tuUaj,0.802,241547,0.41,08bo51XXjxoJRv3O9tuUaj,0.000994,9,0.0941,-12.793,1,0.0455,1,106.05,4,https://api.spotify.com/v1/tracks/08bo51XXjxoJRv3O9tuUaj,audio_features,spotify:track:08bo51XXjxoJRv3O9tuUaj,0.224
0.00426,https://api.spotify.com/v1/audio-analysis/5vQIaNoKsT4xkG1j2KFBFs,0.562,328213,0.815,5vQIaNoKsT4xkG1j2KFBFs,0.0615,9,0.664,-6.322,0,0.046,1,128.02,4,https://api.spotify.com/v1/tracks/5vQIaNoKsT4xkG1j2KFBFs,audio_features,spotify:track:5vQIaNoKsT4xkG1j2KFBFs,0.196
0.000801,https://api.spotify.com/v1/audio-analysis/010NY9hPGHJKjiTYATkf0l,0.592,273765,0.87,010NY9hPGHJKjiTYATkf0l,0.612,5,0.16,-5.404,0,0.0421,1,128.0,4,https://api.spotify.com/v1/tracks/010NY9hPGHJKjiTYATkf0l,audio_features,spotify:track:010NY9hPGHJKjiTYATkf0l,0.0489
